"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2,"1","2025-01-23T13:04:07.164468Z",640,"[{""start"":0,""end"":17,""text"":""Imran Pratapgarhi"",""labels"":[""NOUN""]},{""start"":28,""end"":35,""text"":""PM Modi"",""labels"":[""NOUN""]},{""start"":21,""end"":27,""text"":""गिनाईं"",""labels"":[""VERB""]},{""start"":39,""end"":48,""text"":""छुट्टियां"",""labels"":[""NOUN""]},{""start"":50,""end"":55,""text"":""सुनकर"",""labels"":[""VERB""]},{""start"":56,""end"":58,""text"":""आप"",""labels"":[""NOUN""]},{""start"":59,""end"":61,""text"":""भी"",""labels"":[""CONJ""]},{""start"":62,""end"":67,""text"":""हैरान"",""labels"":[""VERB""]},{""start"":68,""end"":77,""text"":""रह जाएंगे"",""labels"":[""VERB""]},{""start"":79,""end"":95,""text"":""इमरान प्रतापगढ़ी"",""labels"":[""NOUN""]},{""start"":77,""end"":79,""text"":""। "",""labels"":[""X""]},{""start"":18,""end"":20,""text"":""ने"",""labels"":[""ADP""]},{""start"":36,""end"":38,""text"":""की"",""labels"":[""ADP""]}]",535.857,"Imran Pratapgarhi ने गिनाईं PM Modi की छुट्टियां, सुनकर आप भी हैरान रह जाएंगे। इमरान प्रतापगढ़ी","2025-01-23T13:15:55.647088Z"
3,"1","2025-01-23T13:07:00.425377Z",641,"[{""start"":0,""end"":7,""text"":""किसानों"",""labels"":[""NOUN""]},{""start"":11,""end"":22,""text"":""बल्ले-बल्ले"",""labels"":[""VERB""]},{""start"":24,""end"":27,""text"":""MSP"",""labels"":[""PROPN""]},{""start"":31,""end"":35,""text"":""सबसे"",""labels"":[""PRON""]},{""start"":36,""end"":42,""text"":""ज्यादा"",""labels"":[""ADV""]},{""start"":43,""end"":48,""text"":""खरीदी"",""labels"":[""VERB""]},{""start"":52,""end"":55,""text"":""रही"",""labels"":[""VERB""]},{""start"":56,""end"":70,""text"":""कांग्रेस सरकार"",""labels"":[""PROPN""]},{""start"":72,""end"":80,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":83,""end"":95,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":70,""end"":72,""text"":""। "",""labels"":[""X""]},{""start"":80,""end"":83,""text"":"" | "",""labels"":[""X""]},{""start"":8,""end"":10,""text"":""की"",""labels"":[""ADP""]},{""start"":28,""end"":30,""text"":""पर"",""labels"":[""ADP""]},{""start"":49,""end"":51,""text"":""कर"",""labels"":[""ADP""]}]",202.11300000000003,"किसानों की बल्ले-बल्ले। MSP पर सबसे ज्यादा खरीदी कर रही कांग्रेस सरकार। Congress | Chhattisgarh","2025-01-23T13:53:36.153702Z"
4,"1","2025-01-23T13:08:35.438690Z",642,"[{""start"":0,""end"":7,""text"":""किसानों"",""labels"":[""NOUN""]},{""start"":11,""end"":17,""text"":""हो गई "",""labels"":[""ADV""]},{""start"":17,""end"":28,""text"":""बल्ले-बल्ले"",""labels"":[""VERB""]},{""start"":30,""end"":34,""text"":""गोबर"",""labels"":[""NOUN""]},{""start"":38,""end"":43,""text"":""ख़रीद"",""labels"":[""VERB""]},{""start"":44,""end"":47,""text"":""रही"",""labels"":[""ADV""]},{""start"":48,""end"":56,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":57,""end"":62,""text"":""सरकार"",""labels"":[""NOUN""]},{""start"":64,""end"":76,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":79,""end"":96,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":62,""end"":63,""text"":""।"",""labels"":[""X""]},{""start"":76,""end"":79,""text"":"" | "",""labels"":[""X""]},{""start"":8,""end"":10,""text"":""की"",""labels"":[""ADP""]},{""start"":35,""end"":37,""text"":""भी"",""labels"":[""ADP""]}]",187.79299999999998,"किसानों की हो गई बल्ले-बल्ले, गोबर भी ख़रीद रही Congress सरकार। Chhattisgarh | CM Bhupesh Baghel","2025-01-23T13:54:00.325527Z"
5,"1","2025-01-23T13:11:54.605477Z",643,"[{""start"":0,""end"":3,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":7,""end"":12,""text"":""भड़के"",""labels"":[""VERB""]},{""start"":13,""end"":31,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":36,""end"":49,""text"":""Gujarat Model"",""labels"":[""NOUN""]},{""start"":50,""end"":54,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":55,""end"":75,""text"":""Bhupesh Baghel Model"",""labels"":[""PROPN""]},{""start"":76,""end"":78,""text"":""है"",""labels"":[""ADV""]},{""start"":78,""end"":83,""text"":""...। "",""labels"":[""X""]},{""start"":83,""end"":95,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":4,""end"":6,""text"":""पर"",""labels"":[""ADP""]},{""start"":33,""end"":35,""text"":""ये"",""labels"":[""ADP""]}]",146.574,"BJP पर भड़के Mallikarjun Kharge, ये Gujarat Model नहीं Bhupesh Baghel Model है...। Chhattisgarh","2025-01-23T13:54:12.772179Z"
6,"1","2025-01-23T13:14:51.180380Z",644,"[{""start"":0,""end"":7,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":11,""end"":15,""text"":""करा "",""labels"":[""VERB""]},{""start"":15,""end"":19,""text"":""दिया"",""labels"":[""ADV""]},{""start"":20,""end"":24,""text"":""आपका"",""labels"":[""NOUN""]},{""start"":25,""end"":34,""text"":""इतना बड़ा"",""labels"":[""ADJ""]},{""start"":35,""end"":41,""text"":""नुकसान"",""labels"":[""VERB""]},{""start"":41,""end"":45,""text"":""... "",""labels"":[""X""]},{""start"":45,""end"":62,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":66,""end"":70,""text"":""खोली"",""labels"":[""VERB""]},{""start"":71,""end"":74,""text"":""पोल"",""labels"":[""NOUN""]},{""start"":74,""end"":75,""text"":""।"",""labels"":[""X""]},{""start"":8,""end"":10,""text"":""ने"",""labels"":[""ADP""]},{""start"":63,""end"":65,""text"":""ने"",""labels"":[""ADP""]},{""start"":76,""end"":88,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":89,""end"":97,""text"":""Election"",""labels"":[""NOUN""]}]",260.114,"PM Modi ने करा दिया आपका इतना बड़ा नुकसान... CM Bhupesh Baghel ने खोली पोल। Chhattisgarh Election","2025-01-23T13:55:14.928998Z"
7,"1","2025-01-23T13:22:29.777998Z",645,"[{""start"":0,""end"":4,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":5,""end"":7,""text"":""पर"",""labels"":[""ADP""]},{""start"":8,""end"":13,""text"":""गंभीर"",""labels"":[""PROPN""]},{""start"":14,""end"":18,""text"":""आरोप"",""labels"":[""ADV""]},{""start"":19,""end"":24,""text"":""लगाते"",""labels"":[""VERB""]},{""start"":25,""end"":28,""text"":""हुए"",""labels"":[""ADP""]},{""start"":29,""end"":49,""text"":""Subhash Chandra Bose"",""labels"":[""PROPN""]},{""start"":50,""end"":52,""text"":""के"",""labels"":[""ADP""]},{""start"":58,""end"":60,""text"":""ने"",""labels"":[""ADP""]},{""start"":65,""end"":67,""text"":""से"",""labels"":[""ADP""]},{""start"":53,""end"":57,""text"":""पोते"",""labels"":[""NOUN""]},{""start"":61,""end"":64,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":80,""end"":81,""text"":""।"",""labels"":[""X""]},{""start"":68,""end"":72,""text"":""दिया"",""labels"":[""VERB""]},{""start"":73,""end"":80,""text"":""इस्तीफा"",""labels"":[""ADV""]},{""start"":82,""end"":100,""text"":""Chandra Kumar Bose"",""labels"":[""PROPN""]}]",306.7830000000001,"Modi पर गंभीर आरोप लगाते हुए Subhash Chandra Bose के पोते ने BJP से दिया इस्तीफा। Chandra Kumar Bose","2025-01-23T13:55:26.585145Z"
8,"1","2025-01-23T13:25:21.623958Z",646,"[{""start"":0,""end"":18,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""ने"",""labels"":[""ADP""]},{""start"":22,""end"":27,""text"":""गिनाए"",""labels"":[""VERB""]},{""start"":28,""end"":36,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""के"",""labels"":[""ADP""]},{""start"":40,""end"":43,""text"":""काम"",""labels"":[""NOUN""]},{""start"":45,""end"":46,""text"":""5"",""labels"":[""NUM""]},{""start"":47,""end"":50,""text"":""साल"",""labels"":[""NOUN""]},{""start"":51,""end"":54,""text"":""में"",""labels"":[""ADP""]},{""start"":55,""end"":61,""text"":""40 लाख"",""labels"":[""NUM""]},{""start"":62,""end"":65,""text"":""लोग"",""labels"":[""NOUN""]},{""start"":72,""end"":74,""text"":""से"",""labels"":[""ADP""]},{""start"":66,""end"":71,""text"":""गरीबी"",""labels"":[""ADJ""]},{""start"":75,""end"":86,""text"":""बाहर निकाले"",""labels"":[""VERB""]},{""start"":88,""end"":100,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":86,""end"":87,""text"":""।"",""labels"":[""X""]}]",178.645,"Mallikarjun Kharge ने गिनाए Congress के काम, 5 साल में 40 लाख लोग गरीबी से बाहर निकाले। Chhattisgarh","2025-01-23T13:55:37.331512Z"
9,"1","2025-01-23T13:33:05.976508Z",647,"[{""start"":5,""end"":8,""text"":""कहो"",""labels"":[""VERB""]},{""start"":0,""end"":4,""text"":""सोना"",""labels"":[""NOUN""]},{""start"":9,""end"":11,""text"":""या"",""labels"":[""CONJ""]},{""start"":12,""end"":16,""text"":""Gold"",""labels"":[""NOUN""]},{""start"":18,""end"":22,""text"":""कीमत"",""labels"":[""NOUN""]},{""start"":32,""end"":36,""text"":""जाती"",""labels"":[""VERB""]},{""start"":23,""end"":31,""text"":""बदल नहीं"",""labels"":[""ADJ""]},{""start"":42,""end"":53,""text"":""Pawan Khera"",""labels"":[""PROPN""]},{""start"":76,""end"":95,""text"":""INDIA Vs NDA Bharat"",""labels"":[""PROPN""]},{""start"":36,""end"":42,""text"":""... | "",""labels"":[""X""]},{""start"":54,""end"":55,""text"":""|"",""labels"":[""X""]},{""start"":56,""end"":73,""text"":""Bharat Jodo Yatra"",""labels"":[""PROPN""]},{""start"":74,""end"":75,""text"":""|"",""labels"":[""X""]}]",380.8,"सोना कहो या Gold, कीमत बदल नहीं जाती... | Pawan Khera | Bharat Jodo Yatra | INDIA Vs NDA Bharat","2025-01-23T13:55:51.079079Z"
10,"1","2025-01-23T13:37:26.379057Z",648,"[{""start"":0,""end"":18,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""ने"",""labels"":[""ADP""]},{""start"":22,""end"":24,""text"":""कर"",""labels"":[""ADP""]},{""start"":25,""end"":27,""text"":""दी"",""labels"":[""VERB""]},{""start"":28,""end"":35,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":36,""end"":45,""text"":""Amit Shah"",""labels"":[""PROPN""]},{""start"":35,""end"":36,""text"":""-"",""labels"":[""X""]},{""start"":46,""end"":48,""text"":""की"",""labels"":[""ADP""]},{""start"":49,""end"":54,""text"":""धुलाई"",""labels"":[""VERB""]},{""start"":54,""end"":57,""text"":""..."",""labels"":[""X""]},{""start"":58,""end"":70,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":71,""end"":72,""text"":""|"",""labels"":[""X""]},{""start"":73,""end"":90,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]}]",152.66000000000003,"Mallikarjun Kharge ने कर दी PM Modi-Amit Shah की धुलाई... Chhattisgarh | CM Bhupesh Baghel","2025-01-23T13:56:03.484964Z"
11,"1","2025-01-23T13:57:46.412026Z",649,"[{""start"":0,""end"":2,""text"":""आज"",""labels"":[""NOUN""]},{""start"":3,""end"":10,""text"":""विदेशों"",""labels"":[""ADJ""]},{""start"":11,""end"":14,""text"":""में"",""labels"":[""ADJ""]},{""start"":15,""end"":32,""text"":""Bharat Jodo Yatra"",""labels"":[""PROPN""]},{""start"":33,""end"":35,""text"":""पर"",""labels"":[""ADP""]},{""start"":36,""end"":39,""text"":""PhD"",""labels"":[""ADP""]},{""start"":40,""end"":42,""text"":""हो"",""labels"":[""ADP""]},{""start"":43,""end"":46,""text"":""रही"",""labels"":[""VERB""]},{""start"":47,""end"":49,""text"":""है"",""labels"":[""ADV""]},{""start"":51,""end"":52,""text"":""|"",""labels"":[""X""]},{""start"":49,""end"":50,""text"":""'"",""labels"":[""X""]},{""start"":53,""end"":64,""text"":""Pawan Khera"",""labels"":[""PROPN""]},{""start"":67,""end"":79,""text"":""Rahul Gandhi"",""labels"":[""PROPN""]},{""start"":82,""end"":89,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":80,""end"":81,""text"":""|"",""labels"":[""X""]},{""start"":65,""end"":66,""text"":""|"",""labels"":[""X""]}]",164.87800000000001,"आज विदेशों में Bharat Jodo Yatra पर PhD हो रही है' | Pawan Khera | Rahul Gandhi | PM Modi","2025-01-23T13:57:46.412057Z"
