"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
22,"1","No Truck","2025-01-23T14:39:15.532607Z",14420,"/data/upload/5/e3401386-img_640.jpg",16.06,"2025-01-23T14:39:15.532659Z"
23,"1","Truck","2025-01-23T14:39:21.268732Z",14421,"/data/upload/5/43fcc54b-img_641.jpg",2.755,"2025-01-23T14:39:21.268759Z"
24,"1","Truck","2025-01-23T14:39:27.094164Z",14422,"/data/upload/5/c40f0473-img_642.jpg",3.583,"2025-01-23T14:39:27.094191Z"
25,"1","Truck","2025-01-23T14:39:32.516249Z",14423,"/data/upload/5/f1c1d25f-img_643.jpg",3.126,"2025-01-23T14:39:32.516279Z"
26,"1","Truck","2025-01-23T14:39:40.527514Z",14424,"/data/upload/5/32a9006e-img_644.jpg",4.791,"2025-01-23T14:39:40.527544Z"
27,"1","Truck","2025-01-23T14:39:45.105914Z",14425,"/data/upload/5/7a55d6c7-img_645.jpg",3.378,"2025-01-23T14:39:45.105958Z"
28,"1","No Truck","2025-01-23T14:39:50.348044Z",14426,"/data/upload/5/e735a144-img_646.jpg",2.956,"2025-01-23T14:39:50.348091Z"
29,"1","Truck","2025-01-23T14:40:01.240571Z",14427,"/data/upload/5/d43bcf38-img_647.jpg",9.105,"2025-01-23T14:40:01.240600Z"
30,"1","No Truck","2025-01-23T14:40:07.839928Z",14428,"/data/upload/5/8b23dcf1-img_648.jpg",3.877,"2025-01-23T14:40:07.839957Z"
31,"1","Truck","2025-01-23T14:40:11.176595Z",14429,"/data/upload/5/4901baac-img_649.jpg",2.239,"2025-01-23T14:40:11.176620Z"
32,"1","No Truck","2025-01-23T14:40:15.835880Z",14430,"/data/upload/5/4662a70f-img_650.jpg",3.11,"2025-01-23T14:40:15.835912Z"
33,"1","No Truck","2025-01-23T14:40:19.807455Z",14431,"/data/upload/5/f323c979-img_651.jpg",2.444,"2025-01-23T14:40:19.807484Z"
34,"1","No Truck","2025-01-23T14:40:23.791483Z",14432,"/data/upload/5/ea832d2e-img_652.jpg",2.68,"2025-01-23T14:40:23.791516Z"
35,"1","No Truck","2025-01-23T14:40:26.622750Z",14433,"/data/upload/5/ae9baebb-img_653.jpg",1.828,"2025-01-23T14:40:26.622782Z"
36,"1","Truck","2025-01-23T14:40:34.701554Z",14434,"/data/upload/5/afd0a94c-img_654.jpg",6.43,"2025-01-23T14:40:34.701586Z"
37,"1","No Truck","2025-01-23T14:40:37.691312Z",14435,"/data/upload/5/f0ffd085-img_655.jpg",1.947,"2025-01-23T14:40:37.691369Z"
38,"1","Truck","2025-01-23T14:40:40.440988Z",14436,"/data/upload/5/f5b4c39f-img_656.jpg",1.916,"2025-01-23T14:40:40.441021Z"
39,"1","Truck","2025-01-23T14:40:43.819263Z",14437,"/data/upload/5/2c608872-img_657.jpg",1.785,"2025-01-23T14:40:43.819311Z"
40,"1","Truck","2025-01-23T14:40:53.355500Z",14438,"/data/upload/5/3598bbff-img_658.jpg",8.513,"2025-01-23T14:40:53.355558Z"
41,"1","No Truck","2025-01-23T14:40:59.137006Z",14439,"/data/upload/5/ce994718-img_659.jpg",3.793,"2025-01-23T14:40:59.137035Z"
